Game,Developer,Publisher,Release date,Sales,Platform,Genre
Romancing SaGa 2,Square,Square,"December 10, 1993",1490000,Nintendo Entertainment System (NES),
Final Fight,Capcom,Capcom,"December 21, 1990",1480000,Nintendo Entertainment System (NES),
Dragon Ball Z: Super Butōden,Tose,Bandai,"March 20, 1993",1450000,Nintendo Entertainment System (NES),
Kirby Super Star †,HAL Laboratory,Nintendo,"March 21, 1996",1440000,Nintendo Entertainment System (NES),
Super Metroid,"Nintendo R&D1, Intelligent Systems",Nintendo,"March 19, 1994",1420000,Nintendo Entertainment System (NES),
Dragon Quest III,Heartbeat,Enix,"December 6, 1996",1400000,Nintendo Entertainment System (NES),
Romancing SaGa,Square,Square,"January 28, 1992",1320000,Nintendo Entertainment System (NES),
Wonder Project J,Almanic Corporation,Enix,"December 9, 1994",1300000,Nintendo Entertainment System (NES),
Romancing SaGa 3,Square,Square,"November 11, 1995",1300000,Nintendo Entertainment System (NES),
The Lion King,Westwood Studios,Virgin Interactive,"December 8, 1994",1270000,Nintendo Entertainment System (NES),
NBA Jam,Iguana Entertainment,Acclaim Entertainment,"March 4, 1994",1220000,Nintendo Entertainment System (NES),
Mortal Kombat 3,Sculptured Software,Acclaim Entertainment,"October 13, 1995",1220000,Nintendo Entertainment System (NES),
The Magical Quest Starring Mickey Mouse,Capcom,Capcom,"November 20, 1992",1210000,Nintendo Entertainment System (NES),
Dragon Quest I & II,Chunsoft,Enix,"December 18, 1993",1200000,Nintendo Entertainment System (NES),
Derby Stallion III,ASCII Entertainment,Nintendo,"January 20, 1995",1200000,Nintendo Entertainment System (NES),
Mega Man X,Capcom,Capcom,"December 17, 1993",1160000,Nintendo Entertainment System (NES),
Dragon Ball Z: Super Butōden 2,Tose,Bandai,"December 17, 1993",1150000,Nintendo Entertainment System (NES),
Derby Stallion '96,ASCII Entertainment,Nintendo,"March 15, 1996",1100000,Nintendo Entertainment System (NES),
Super Ghouls 'n Ghosts,Capcom,Capcom,"October 4, 1991",1090000,Nintendo Entertainment System (NES),
Final Fight 2,Capcom,Capcom,"May 22, 1993",1030000,Nintendo Entertainment System (NES),
Super Mario 64 †,Nintendo EAD,Nintendo,"June 23, 1996",11910000,Nintendo 64,
Mario Kart 64,Nintendo EAD,Nintendo,"December 14, 1996",9870000,Nintendo 64,
GoldenEye 007 †,Rare,Nintendo,"August 25, 1997",8090000,Nintendo 64,
The Legend of Zelda: Ocarina of Time,Nintendo EAD,Nintendo,"November 21, 1998",7600000,Nintendo 64,
Super Smash Bros.,HAL Laboratory,Nintendo,"January 21, 1999",5550000,Nintendo 64,
Pokémon Stadium †,Nintendo EAD,Nintendo,"April 30, 1999",5460000,Nintendo 64,
Donkey Kong 64 †,Rare,Nintendo,"November 22, 1999",5270000,Nintendo 64,
Diddy Kong Racing,Rare,Rare,"November 14, 1997",4880000,Nintendo 64,
Star Fox 64,Nintendo EAD,Nintendo,"April 27, 1997",4000000,Nintendo 64,
Banjo-Kazooie,Rare,Nintendo,"June 29, 1998",3650000,Nintendo 64,
Pokémon Snap,"HAL Laboratory, Pax Softonica",Nintendo,"March 21, 1999",3630000,Nintendo 64,
The Legend of Zelda: Majora's Mask,Nintendo EAD,Nintendo,"April 27, 2000",3360000,Nintendo 64,
Star Wars Episode I: Racer †,LucasArts,LucasArts,"April 30, 1999",3100000,Nintendo 64,
Banjo-Tooie,Rare,Nintendo,"November 20, 2000",3000000,Nintendo 64,
Wave Race 64,Nintendo EAD,Nintendo,"September 27, 1996",2940000,Nintendo 64,
Yoshi's Story,Nintendo EAD,Nintendo,"December 21, 1997",2850000,Nintendo 64,
Mario Party,Hudson Soft,Nintendo,"December 18, 1998",2700000,Nintendo 64,
Star Wars: Shadows of the Empire,LucasArts,Nintendo,"December 3, 1996",2600000,Nintendo 64,
Pokémon Stadium 2,Nintendo EAD,Nintendo,"December 14, 2000",2540000,Nintendo 64,
Perfect Dark,Rare,Rare,"May 22, 2000",2520000,Nintendo 64,
Mario Party 2,Hudson Soft,Nintendo,"December 17, 1999",2480000,Nintendo 64,
Mario Tennis,Camelot Software Planning,Nintendo,"July 21, 2000",2320000,Nintendo 64,
Star Wars: Rogue Squadron,"Factor 5, LucasArts",Nintendo,"December 7, 1998",2170000,Nintendo 64,
1080° Snowboarding,Nintendo EAD,Nintendo,"February 28, 1998",2030000,Nintendo 64,
Excitebike 64,Left Field Productions,Nintendo,"April 30, 2000",2000000,Nintendo 64,
Mario Party 3,Hudson Soft,Nintendo,"December 7, 2000",1910000,Nintendo 64,
WCW/nWo Revenge,"AKI Corporation, Asmik Ace Entertainment",THQ,"October 26, 1998",1880000,Nintendo 64,
"Hey You, Pikachu!",Ambrella,Nintendo,"December 12, 1998",1830000,Nintendo 64,
Kirby 64: The Crystal Shards,HAL Laboratory,Nintendo,"March 24, 2000",1770000,Nintendo 64,
Cruis'n USA,Williams,Nintendo,"December 3, 1996",1720000,Nintendo 64,
Tony Hawk's Pro Skater,Edge of Reality,Activision,"February 29, 2000",1610000,Nintendo 64,
F-1 World Grand Prix,Paradigm Entertainment,Nintendo,"July 31, 1998",1600000,Nintendo 64,
Turok: Dinosaur Hunter,Iguana Entertainment,Acclaim Entertainment,"March 4, 1997",1500000,Nintendo 64,
Mario Golf,Camelot Software Planning,Nintendo,"June 11, 1999",1470000,Nintendo 64,
Turok 2: Seeds of Evil,Iguana Entertainment,Acclaim Entertainment,"October 21, 1998",1400000,Nintendo 64,
Paper Mario,Intelligent Systems,Nintendo,"August 11, 2000",1370000,Nintendo 64,
WCW vs. nWo: World Tour,"AKI Corporation, Asmik Ace Entertainment",THQ,"November 30, 1997",1300000,Nintendo 64,
Kobe Bryant in NBA Courtside,Left Field Productions,Nintendo,"April 27, 1998",1190000,Nintendo 64,
WWF No Mercy,"AKI Corporation, Asmik Ace Entertainment",THQ,"November 17, 2000",1190000,Nintendo 64,
Jet Force Gemini,Rare,Rare,"October 11, 1999",1160000,Nintendo 64,
WWF WrestleMania 2000,"AKI Corporation, Asmik Ace Entertainment",THQ,"October 12, 1999",1140000,Nintendo 64,
Pilotwings 64,"Nintendo EAD, Nintendo R&D3, Paradigm Entertainment",Nintendo,"June 23, 1996",1120000,Nintendo 64,
F-Zero X,Nintendo EAD,Nintendo,"July 14, 1998",1100000,Nintendo 64,
Pocket Monsters' Stadium,"Nintendo EAD, HAL Laboratory",Nintendo,"August 1, 1998",1094765,Nintendo 64,
007: The World Is Not Enough,Eurocom,Electronic Arts,"October 17, 2000",1080000,Nintendo 64,
Namco Museum 64,Mass Media Games,Namco,"October 31, 1999",1040000,Nintendo 64,
Pokémon Ruby and Sapphire,Game Freak,"The Pokémon Company, Nintendo","November 21, 2002",16220000,Game Boy Advanced,
Pokémon FireRed and LeafGreen,Game Freak,"The Pokémon Company, Nintendo","January 24, 2004",12000000,Game Boy Advanced,
Pokémon Emerald,Game Freak,"The Pokémon Company, Nintendo","September 16, 2004",7060000,Game Boy Advanced,
Mario Kart: Super Circuit,Intelligent Systems,Nintendo,"July 21, 2001",5910000,Game Boy Advanced,
Super Mario World: Super Mario Advance 2,Nintendo R&D2,Nintendo,"December 14, 2001",5690000,Game Boy Advanced,
Super Mario Advance,Nintendo R&D2,Nintendo,"March 21, 2001",5570000,Game Boy Advanced,
Super Mario Advance 4: Super Mario Bros. 3 †,Nintendo R&D2,Nintendo,"July 11, 2003",5430000,Game Boy Advanced,
Namco Museum,Mass Media Games,Namco,"June 11, 2001",2960000,Game Boy Advanced,
Pac-Man Collection,Mass Media Games,Namco,"July 12, 2001",2940000,Game Boy Advanced,
Yoshi's Island: Super Mario Advance 3,Nintendo R&D2,Nintendo,"September 23, 2002",2830000,Game Boy Advanced,
The Legend of Zelda: A Link to the Past,"Nintendo EAD, Flagship",Nintendo,"December 2, 2002",2820000,Game Boy Advanced,
Pokémon Mystery Dungeon: Red Rescue Team,Chunsoft,"The Pokémon Company, Nintendo","November 17, 2005",2360000,Game Boy Advanced,
NES Classics Series: Super Mario Bros.,Nintendo EAD,Nintendo,"February 14, 2004",2270000,Game Boy Advanced,
Wario Land 4,Nintendo R&D1,Nintendo,"August 21, 2001",2200000,Game Boy Advanced,
Mario & Luigi: Superstar Saga,AlphaDream,Nintendo,"November 17, 2003",2150000,Game Boy Advanced,
Kirby: Nightmare in Dream Land,HAL Laboratory,Nintendo,"October 25, 2002",2100000,Game Boy Advanced,
Finding Nemo,Vicarious Visions,THQ,"May 10, 2003",1840000,Game Boy Advanced,
Donkey Kong Country,Rare,Nintendo,"June 6, 2003",1820000,Game Boy Advanced,
The Legend of Zelda: The Minish Cap,Flagship,Nintendo,"November 4, 2004",1760000,Game Boy Advanced,
Yu-Gi-Oh! The Eternal Duelist Soul,Konami,Konami,"July 5, 2001",1710534,Game Boy Advanced,
Golden Sun,Camelot Software Planning,Nintendo,"August 1, 2001",1650000,Game Boy Advanced,
Final Fantasy Tactics Advance,Square,"JP: Square, WW: Nintendo","February 14, 2003",1621000,Game Boy Advanced,
Metroid Fusion,Nintendo R&D1,Nintendo,"November 17, 2002",1600000,Game Boy Advanced,
Kingdom Hearts: Chain of Memories,"Square Enix, Jupiter",Square Enix,"November 11, 2004",1542000,Game Boy Advanced,
Sonic Advance,"Dimps, Sonic Team",JP: Sega,"December 20, 2001",1515000,Game Boy Advanced,
Kirby & the Amazing Mirror,"HAL Laboratory, Flagship",Nintendo,"April 15, 2004",1470000,Game Boy Advanced,
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,Konami,Konami,"April 15, 2003",1460000,Game Boy Advanced,
Dragon Ball Z: The Legacy of Goku,Webfoot Technologies,Infogrames,"May 14, 2002",1400000,Game Boy Advanced,
Mario vs. Donkey Kong,Nintendo Software Technology,Nintendo,"May 24, 2004",1370000,Game Boy Advanced,
Pokémon Pinball: Ruby & Sapphire,Jupiter,"The Pokémon Company, Nintendo","August 1, 2003",1370000,Game Boy Advanced,
The Incredibles,Helixe,THQ,"November 1, 2004",1366000,Game Boy Advanced,
Mega Man Battle Network 4: Red Sun and Blue Moon,Capcom Production Studio 2,Capcom,"December 14, 2003",1350000,Game Boy Advanced,
Frogger's Adventures: Temple of the Frog,Konami Software Shanghai,Konami,"November 23, 2001",1310000,Game Boy Advanced,
Harry Potter and the Chamber of Secrets,Eurocom,Electronic Arts,"November 5, 2002",1200000,Game Boy Advanced,
Disney Princess,Vicarious Visions,THQ,"April 2, 2003",1170000,Game Boy Advanced,
Golden Sun: The Lost Age,Camelot Software Planning,Nintendo,"June 28, 2002",1120000,Game Boy Advanced,
"WarioWare, Inc.: Mega Microgames!",Nintendo R&D1,Nintendo,"March 21, 2003",1100000,Game Boy Advanced,
F-Zero: Maximum Velocity,NDcube,Nintendo,"March 21, 2001",1050000,Game Boy Advanced,
Donkey Kong Country 2,Rare,Nintendo,"June 25, 2004",1020000,Game Boy Advanced,
Sonic Advance 2,"Dimps, Sonic Team",JP: Sega,"December 19, 2002",1016541,Game Boy Advanced,
Spyro: Season of Ice,Digital Eclipse,Universal Interactive Studios,"October 29, 2001",1000000,Game Boy Advanced,
WarioWare: Twisted!,"Nintendo SPD, Intelligent Systems",Nintendo,"October 14, 2004",1000000,Game Boy Advanced,
Super Smash Bros. Melee,HAL Laboratory,Nintendo,"November 21, 2001",7410000,GameCube,Fighting
Mario Kart: Double Dash,Nintendo EAD,Nintendo,"November 7, 2003",6960000,GameCube,Racing
Super Mario Sunshine,Nintendo EAD,Nintendo,"July 19, 2002",6280000,GameCube,Platformer
The Legend of Zelda: The Wind Waker,Nintendo EAD,Nintendo,"December 13, 2002",4430000,GameCube,Action-adventure
Luigi's Mansion,Nintendo EAD,Nintendo,"September 14, 2001",3330000,GameCube,Action-adventure
Metroid Prime,Retro Studios,Nintendo,"November 17, 2002",2840000,GameCube,Action-adventure
Animal Crossing,Nintendo EAD,Nintendo,"December 14, 2001",2710000,GameCube,Social simulation
Mario Party 4,Hudson Soft,Nintendo,"October 21, 2002",2460000,GameCube,Party
Pokémon Colosseum,Genius Sonority,"Nintendo, The Pokémon Company","November 21, 2003",2410000,GameCube,Role-playing
Mario Party 5,Hudson Soft,Nintendo,"November 10, 2003",2170000,GameCube,Party
Mario Party 7,Hudson Soft,Nintendo,"November 7, 2005",2080000,GameCube,Party
Paper Mario: The Thousand-Year Door,Intelligent Systems,Nintendo,"July 22, 2004",1910000,GameCube,Role-playing
Star Fox Adventures,Rare,Nintendo,"September 23, 2002",1820000,GameCube,Action-adventure
Sonic Adventure 2: Battle,Sonic Team USA,Sega,"December 20, 2001",1730000,GameCube,Platformer
Mario Party 6,Hudson Soft,Nintendo,"November 18, 2004",1630000,GameCube,Party
Pikmin,Nintendo EAD,Nintendo,"October 26, 2001",1600000,GameCube,Real-time strategy
Resident Evil 4,Capcom Production Studio 4,Capcom,"January 11, 2005",1600000,GameCube,Survival horror
Super Mario Strikers,Next Level Games,Nintendo,"November 18, 2005",1600000,GameCube,Sports
F-Zero GX,Amusement Vision,Nintendo,"July 25, 2003",1500000,GameCube,Racing
The Legend of Zelda: Twilight Princess,Nintendo EAD,Nintendo,"December 2, 2006",1430000,GameCube,Action-adventure
Pokémon XD: Gale of Darkness,Genius Sonority,"Nintendo, The Pokémon Company","August 4, 2005",1420000,GameCube,Role-playing
Sonic Mega Collection,Sonic Team,Sega,"November 10, 2002",1370000,GameCube,Compilation
Resident Evil,Capcom Production Studio 4,Capcom,"March 22, 2002",1350000,GameCube,Survival horror
Kirby Air Ride,HAL Laboratory,Nintendo,"July 11, 2003",1350000,GameCube,Racing
Final Fantasy Crystal Chronicles,The Game Designers Studio,Nintendo,"August 8, 2003",1300000,GameCube,Action role-playing
Mario Golf: Toadstool Tour,Camelot Software Planning,Nintendo,"July 28, 2003",1270000,GameCube,Sports
Resident Evil Zero,Capcom,Capcom,"November 12, 2002",1250000,GameCube,Survival horror
Donkey Konga,Namco,Nintendo,"December 12, 2003",1180000,GameCube,Music
Mario Power Tennis,Camelot Software Planning,Nintendo,"October 28, 2004",1160000,GameCube,Sports
Star Wars Rogue Squadron II: Rogue Leader,Factor 5,LucasArts,"November 18, 2001",1130000,GameCube,Action
Pikmin 2,Nintendo EAD,Nintendo,"April 29, 2004",1120000,GameCube,Real-time strategy
Metroid Prime 2: Echoes,Retro Studios,Nintendo,"November 15, 2004",1100000,GameCube,Action-adventure
Soulcalibur II,Namco,Namco,"March 27, 2003",1090000,GameCube,Fighting
Star Fox: Assault,Namco,Nintendo,"February 14, 2005",1060000,GameCube,Scrolling shooter
Mario Superstar Baseball,Namco,Nintendo,"July 21, 2005",1050000,GameCube,Sports
New Super Mario Bros.,Nintendo EAD (Group 4),Nintendo,"May 15, 2006",30800000,Nintendo DS,Platform
Nintendogs (all versions),Nintendo EAD (Group 1),Nintendo,"April 21, 2005",23960000,Nintendo DS,Pet-raising simulation
Mario Kart DS,Nintendo EAD (Group 1),Nintendo,"November 14, 2005",23600000,Nintendo DS,Racing
Brain Age: Train Your Brain in Minutes a Day!,Nintendo SPD,Nintendo,"May 19, 2005",19010000,Nintendo DS,Puzzle
Pokémon Diamond and Pearl,Game Freak,The Pokémon Company,"September 28, 2006",17670000,Nintendo DS,Role-playing
Pokémon Black and White,Game Freak,The Pokémon Company,"September 18, 2010",15640000,Nintendo DS,Role-playing
Brain Age 2: More Training in Minutes a Day!,Nintendo SPD,Nintendo,"December 29, 2005",14880000,Nintendo DS,Puzzle
Pokémon HeartGold and SoulSilver,Game Freak,The Pokémon Company,"September 12, 2009",12720000,Nintendo DS,Role-playing
Animal Crossing: Wild World,Nintendo EAD (Group 2),Nintendo,"November 23, 2005",11750000,Nintendo DS,Social simulation
Super Mario 64 DS,Nintendo EAD,Nintendo,"November 21, 2004",11060000,Nintendo DS,Platform
Mario Party DS,Hudson Soft,Nintendo,"November 8, 2007",9310000,Nintendo DS,Party
Pokémon Black 2 and White 2,Game Freak,The Pokémon Company,"June 23, 2012",8520000,Nintendo DS,Role-playing
Pokémon Platinum,Game Freak,The Pokémon Company,"September 13, 2008",7600000,Nintendo DS,Role-playing
Big Brain Academy,Nintendo EAD (Group 4),Nintendo,"June 30, 2005",6150000,Nintendo DS,Puzzle
Dragon Quest IX: Sentinels of the Starry Skies,Level-5,JP: Square Enix,"July 11, 2009",5310000,Nintendo DS,Role-playing
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness,Chunsoft,"The Pokémon Company, Nintendo","September 13, 2007",4880000,Nintendo DS,Roguelike
The Legend of Zelda: Phantom Hourglass,Nintendo EAD (Group 3),Nintendo,"June 23, 2007",4760000,Nintendo DS,Action-adventure
Lego Star Wars: The Complete Saga,Traveller's Tales,LucasArts,"November 6, 2007",4700000,Nintendo DS,Action-adventure
Mario & Luigi: Bowser's Inside Story,AlphaDream,Nintendo,"February 11, 2009",4560000,Nintendo DS,Role-playing
Mario & Sonic at the Olympic Games,Sega Sports R&D,JP: Nintendo,"January 17, 2008",4220000,Nintendo DS,Sports
Professor Layton and the Diabolical Box,Level-5,JP: Level-5,"November 29, 2007",3940000,Nintendo DS,party
English Training: Have Fun Improving Your Skills!,Nintendo SPD,Nintendo,"January 26, 2006",3910000,Nintendo DS,Puzzle
Tomodachi Collection,Nintendo SPD (Group 1),Nintendo,"June 18, 2009",3760000,Nintendo DS,adventure
Pokémon Mystery Dungeon: Blue Rescue Team,Chunsoft,"The Pokémon Company, Nintendo","November 17, 2005",3490000,Nintendo DS,Educational
Professor Layton and the Curious Village,Level-5,JP: Level-5,"February 15, 2007",3460000,Nintendo DS,Life simulation
Yoshi's Island DS,Artoon,Nintendo,"November 13, 2006",3360000,Nintendo DS,Roguelike
Flash Focus: Vision Training in Minutes a Day,"Nintendo SPD, Namco Bandai",Nintendo,"May 31, 2007",3230000,Nintendo DS,Puzzle
Rhythm Heaven,"Nintendo SPD, TNX Music Recordings",Nintendo,"July 31, 2008",3040000,Nintendo DS,Platform
Professor Kageyama's Maths Training: The Hundred Cell Calculation Method,Jupiter,JP: Shogakukan,"December 7, 2006",3000000,Nintendo DS,Puzzle
Kirby Super Star Ultra,HAL Laboratory,Nintendo,"September 29, 2008",2990000,Nintendo DS,Rhythm
Mario vs. Donkey Kong: Mini-Land Mayhem!,Nintendo Software Technology,Nintendo,"November 14, 2010",2980000,Nintendo DS,Puzzle
Style Savvy,Syn Sophia,Nintendo,"October 23, 2008",2980000,Nintendo DS,Platform
The Legend of Zelda: Spirit Tracks,Nintendo EAD (Group 3),Nintendo,"December 7, 2009",2960000,Nintendo DS,Puzzle
Pokémon Ranger,HAL Laboratory,"The Pokémon Company, Nintendo","March 23, 2006",2930000,Nintendo DS,Simulation
Professor Layton and the Unwound Future,Level-5,JP: Level-5,"November 27, 2008",2830000,Nintendo DS,Action-adventure
Cooking Mama,Office Create,JP: Taito,"March 23, 2006",2820000,Nintendo DS,Action role-playing
Tetris DS,Nintendo SPD (Group 2),Nintendo,"March 20, 2006",2740000,Nintendo DS,Puzzle
Clubhouse Games,Agenda,Nintendo,"November 3, 2005",2570000,Nintendo DS,Simulation
WarioWare: Touched!,"Nintendo SPD (Group 1), Intelligent Systems",Nintendo,"December 2, 2004",2470000,Nintendo DS,Puzzle
Pokémon Ranger: Shadows of Almia,Creatures Inc.,"The Pokémon Company, Nintendo","March 20, 2008",2350000,Nintendo DS,Puzzle
Art Academy,"Headstrong Games, Nintendo SPD (Group 3)",Nintendo,"June 19, 2010",2330000,Nintendo DS,"Action, rhythm"
Kirby: Squeak Squad,"HAL Laboratory, Flagship",Nintendo,"November 2, 2006",2270000,Nintendo DS,Action role-playing
Personal Trainer: Cooking,"indieszero, Nintendo NSD",Nintendo,"June 20, 2008",2170000,Nintendo DS,Educational
Mario Hoops 3-on-3,Square Enix,Nintendo,"July 27, 2006",2030000,Nintendo DS,Action-platformer
Final Fantasy III,Matrix Software,Square Enix,"August 24, 2006",2000000,Nintendo DS,Educational
Professor Layton and the Last Specter,Level-5,JP: Level-5,"November 26, 2009",1910000,Nintendo DS,Sports
Mario & Luigi: Partners in Time,AlphaDream,Nintendo,"November 28, 2005",1730000,Nintendo DS,Role-playing
Super Princess Peach,Tose,Nintendo,"October 20, 2005",1700000,Nintendo DS,Puzzle
Common Sense Training,HAL Laboratory,Nintendo,"October 26, 2006",1680000,Nintendo DS,adventure
Diddy Kong Racing DS,Rare,Nintendo,"February 5, 2007",1590000,Nintendo DS,Role-playing
Mario vs. Donkey Kong 2: March of the Minis,Nintendo Software Technology,Nintendo,"September 25, 2006",1520000,Nintendo DS,Platform
Dragon Quest V: Hand of the Heavenly Bride,ArtePiazza,Square Enix,"July 17, 2008",1490000,Nintendo DS,Platform
Dragon Quest Monsters: Joker,Tose,Square Enix,"December 28, 2006",1490000,Nintendo DS,Racing
Kingdom Hearts 358/2 Days,h.a.n.d.,Square Enix,"May 30, 2009",1490000,Nintendo DS,Puzzle
Pokémon Mystery Dungeon: Explorers of Sky,ChunSoft,Nintendo,"September 13, 2007",1490000,Nintendo DS,Role-playing
Dragon Quest IV: Chapters of the Chosen,ChunSoft,Enix,"November 22, 2007",1460000,Nintendo DS,Role-playing
Guitar Hero: On Tour,Activision,Activision,"June 22, 2008",1400000,Nintendo DS,Action role-playing
Dragon Quest VI: Realms of Revelation,ArtePiazza,Nintendo,"January 28, 2010",1350000,Nintendo DS,Roguelike
Hannah Montana,DC Studios,Buena Vista Games,"October 10, 2006",1300000,Nintendo DS,Role-playing
MySims,Tose,Electronic Arts,"September 18, 2007",1300000,Nintendo DS,Music
Dragon Quest Monsters: Joker 2,Tose,Square Enix,"April 28, 2010",1250000,Nintendo DS,Role-playing
Kirby Mass Attack,HAL Laboratory,Nintendo,"August 4, 2011",1220000,Nintendo DS,Adventure
High School Musical: Makin' the Cut!,A2M,Buena Vista Games,"August 14, 2007",1200000,Nintendo DS,Life simulation
Inazuma Eleven: Firestorm and Blizzard,Level-5,Nintendo,"October 1, 2009",1180000,Nintendo DS,Role-playing
Love and Berry DS Collection,Sega,Sega,"November 22, 2006",1120000,Nintendo DS,Platform
Tamagotchi Connection: Corner Shop,NanaOn-Sha,Bandai,"September 15, 2005",1120000,Nintendo DS,Music
Chrono Trigger,Square Enix,Square Enix,"November 20, 2008",1100000,Nintendo DS,Role-playing
Final Fantasy IV,Matrix Software,Square Enix,"December 20, 2007",1090000,Nintendo DS,Action
Metroid Prime Hunters,Nintendo Software Technology,Nintendo,"June 1, 2006",1080000,Nintendo DS,Party
Final Fantasy XII: Revenant Wings,Square Enix,Square Enix,"April 26, 2007",1040000,Nintendo DS,Role-playing
Drawn to Life,5th Cell,THQ,"September 10, 2007",1000000,Nintendo DS,Role-playing
Scribblenauts,5th Cell,Warner Bros. Interactive Entertainment,"September 15, 2009",1000000,Nintendo DS,First-person
Spectrobes,Jupiter,Disney Interactive Studios,"March 6, 2007",1000000,Nintendo DS,Tactical role-playing
